num,nor,ps
1,51.84,51.88
2,103.65,103.85
3,155.24,154.4
4,207.18,204.67
5,258.83,255.05
6,310.58,305.8
7,363.3,553.622116
8,413.93,605.642116
9,464.61,606.842116
10,515.17,608.062116
11,566.9,609.242116
12,619.09,659.652116
13,670.92,710.172116
14,722.66,760.962116
15,774.34,811.362116
16,825.8,812.562116
17,877.58,813.772116
18,928.82,814.962116
19,979.61,816.162116
20,1029.81,817.362116
21,1080.33,818.542116
22,1132.18,819.722116
23,1183.77,820.932116
24,1235.63,871.382116
25,1285.83,872.582116
26,1336.08,873.792116
27,1387.96,874.992116
28,1439.77,876.202116
29,1491.48,926.442116
30,1543.05,927.632116
31,1594.69,928.832116
32,1646.39,979.312116
33,1696.75,980.522116
34,1746.92,1032.502116
35,1797.32,1084.132116
36,1848.91,1085.312116
37,1900.6,1135.832116
38,1952.4,1186.332116
39,2003.85,1236.602116
40,2055.42,1237.802116
41,2107.12,1238.982116
42,2157.5,1240.172116
43,2207.9,1291.782116
44,2258.51,1343.612116
45,2309.12,1395.462116
46,2363.57,1633.041731
47,2414.31,1634.221731
48,2464.97,1635.431731
49,2519.12,1880.961195
50,2571.14,1882.131195
51,2621.44,1883.341195
52,2673.13,1884.551195
53,2724.73,1885.761195
54,2776.48,1936.331195
55,2828.21,1937.541195
56,2878.99,1938.931195
57,2930.74,1940.111195
58,2981.08,1941.321195
59,3032.79,1942.501195
60,3084.8,1943.701195
61,3136.75,1944.921195
62,3187.03,1946.111195
63,3238.64,1947.301195
64,3290.49,1997.811195
65,3342.22,1999.001195
66,3393.84,2049.151195
67,3445.64,2050.351195
68,3497.45,2051.551195
69,3547.99,2052.741195
70,3599.75,2053.941195
71,3650.46,2055.121195
72,3702.16,2056.531195
73,3753.9,2106.961195
74,3805.44,2108.161195
75,3857.24,2109.371195
76,3908.93,2110.571195
77,3960.61,2160.831195
78,4012.34,2162.041195
79,4063.92,2163.221195
80,4115.56,2164.431195
81,4167.33,2165.631195
82,4217.98,2166.811195
83,4268.45,2167.991195
84,4320.13,2169.191195
85,4370.63,2170.391195
86,4421.2,2171.591195
87,4473.08,2172.801195
88,4526.09,2418.328124
89,4577.02,2419.698124
90,4627.58,2420.888124
91,4678.9,2422.068124
92,4730.67,2423.278124
93,4781.21,2424.448124
94,4831.86,2425.648124
95,4882.29,2426.838124
96,4932.54,2428.048124
97,4984.23,2429.228124
98,5034.68,2430.438124
99,5086.47,2431.618124
100,5136.85,2433.008124
101,5188.5,2433.708124
102,5239.97,2434.918124
103,5290.46,2436.138124
104,5341.49,2437.338124
105,5392.26,2438.018124
106,5442.82,2439.218124
107,5494.36,2440.428124
108,5544.85,2441.638124
109,5596.55,2442.848124
110,5647.07,2444.268124
111,5698.6,2445.468124
112,5749.53,2446.678124
113,5801.02,2447.878124
114,5851.75,2449.078124
115,5903.66,2450.268124
116,5955.55,2451.468124
117,6005.82,2452.658124
118,6057.54,2453.848124
119,6108.27,2455.248124
120,6159.53,2456.448124
121,6211.23,2457.648124
122,6262.87,2458.328124
123,6314.87,2459.538124
124,6365.4,2460.728124
125,6417.09,2461.938124
126,6468.93,2463.148124
127,6520.81,2463.828124
128,6571.22,2465.038124
129,6622.86,2466.228124
130,6674.72,2467.408124
131,6725.39,2468.588124
132,6775.74,2469.268124
133,6827.57,2470.458124
134,6877.89,2471.668124
135,6928.58,2472.868124
136,6979.37,2473.548124
137,7029.84,2525.358124
138,7081.57,2526.748124
139,7133.3,2528.138124
140,7184.08,2529.328124
141,7234.42,2530.008124
142,7285.49,2531.408124
143,7336.29,2532.598124
144,7387.51,2533.288124
145,7438.16,2534.478124
146,7488.38,2586.248124
147,7539.15,2587.448124
148,7589.8,2588.648124
149,7641.43,2589.848124
150,7692.33,2591.048124
151,7743.18,2592.238124
152,7795.06,2593.438124
153,7845.46,2594.648124
154,7895.96,2595.838124
155,7946.54,2597.038124
156,7998.18,2598.218124
157,8049.81,2599.418124
158,8100.56,2600.598124
159,8152.17,2601.798124
160,8202.32,2602.978124
161,8253.98,2604.178124
162,8304.37,2605.558124
163,8356.05,2606.738124
164,8407.01,2607.928124
165,8458.66,2609.128124
166,8510.49,2609.828124
167,8561.06,2611.038124
168,8611.78,2662.748124
169,8662.31,2663.948124
170,8713.85,2665.138124
171,8764.28,2665.818124
172,8814.62,2667.028124
173,8866.53,2668.218124
174,8918.21,2718.468124
175,8969.91,2719.668124
176,9021.9,2720.848124
177,9072.63,2722.018124
178,9122.97,2723.228124
179,9174.89,2724.438124
180,9225.29,2725.618124
181,9276.8,2726.808124
182,9329.06,2728.008124
183,9379.44,2729.218124
184,9431.24,2730.398124
185,9481.65,2731.608124
186,9533.61,2732.808124
187,9584.54,2733.498124
188,9635.26,2734.688124
189,9687.13,2735.868124
190,9739.02,2737.068124
191,9790.73,2738.268124
192,9841.21,2739.468124
193,9892.76,2740.668124
194,9943.32,2741.878124
195,9993.8,2743.088124
196,10044.35,2744.458124
197,10096.06,2745.148124
198,10146.59,2746.348124
199,10198.32,2747.738124
200,10250.04,2749.138124
